Sample,problem,X_min,X_max,Y_min,Y_max
AKT3_Rep#1,hangnail,4000,30000,4000,6000
AKT3_Rep#2,bubble1,23100,24500,49100,50800
AKT3_Rep#2,bubble2,19500,22600,39000,44000
AKT3_Rep#2,hangnail1,4000,32000,35000,37000
AKT3_Rep#2,hangnail2,4000,6000,36000,52000
AKT3_Rep#3,bubble1,17700,21100,73200,76800
AKT3_Rep#3,bubble2,21800,23000,74800,76000
AKT3_Rep#3,hangnail,7000,37000,66000,68000
ARID1B_Rep#1,bubble1,15000,19300,20800,23500
ARID1B_Rep#1,hangnail,2000,33000,2000,5000
ARID1B_Rep#2,bubble,13000,14000,39700,41000
ARID1B_Rep#2,hangnail,2000,30000,36000,37500
ARID1B_Rep#3,hangnail,2000,30000,66000,68700
MALAT1/POLR2A_Rep#1,edge1,2000,7000,20000,23000
MALAT1/POLR2A_Rep#1,hangnail,3000,29000,1000,3000
MALAT1/POLR2A_Rep#1,spot1,32500,33500,3000,5000
MALAT1/POLR2A_Rep#2,hangnail2,3000,30000,28000,29500
MALAT1/POLR2A_Rep#3,big_edge,3000,28000,68000,76000
MALAT1/POLR2A_Rep#3,hangnail,3000,30000,54500,56000